Date,Prior,Open,High,Low,Close,Change,%Change,Average,Bid,Offer,AOM Volume (k.Shares),AOM Value (M.Baht),TR Volume (k.Shares),TR Value (M.Baht),Total Volume (k.Shares),Total Value (M.Baht),NVDR Buy Value (M.Baht),NVDR Sell Value (M.Baht),NVDR Net Value (M.Baht),P/E,PEG,P/BV,BVPS (Baht),%Dividend Yield,%12M Dividend Yield,Market Cap. (M.Baht),%Volume Turnover,ROI,Beta,Par (Baht),Listed Shares,Trading Sign,Benefit Sign
27/4/2022,4.54,4.56,4.6,4.5,4.58,0.04,0.881057269,4.537652001,4.56,4.58,17471.9,79.281402,-,-,17471.961,79.28167736,-,-,-,19.59,0.27,8.38,0.55,-,-,54531.3347,0.146744219,-,-,1,11906404956,-,-
28/4/2022,4.58,4.56,4.7,4.54,4.68,0.1,2.183406114,4.646006587,4.66,4.68,27813.8,129.223098,-,-,27814.005,129.2240487,-,-,-,20.02,0.27,8.57,0.55,-,-,55721.97519,0.233605401,-,-,1,11906404956,-,-
29/4/2022,4.68,4.68,4.76,4.64,4.7,0.02,0.427350427,4.708815301,4.7,4.72,46109.6,217.12159,-,-,46109.757,217.1223238,-,-,-,20.11,0.28,8.6,0.55,-,-,55960.10329,0.387268509,-,-,1,11906404956,-,-
3/5/2022,4.7,4.68,4.68,4.62,4.64,-0.06,-1.276595745,4.648547193,4.64,4.66,16150.8,75.077756,-,-,16150.802,75.0777653,-,-,-,19.85,0.27,8.49,0.55,-,-,55245.719,0.135648015,-,-,1,11906404956,-,-
5/5/2022,4.64,4.68,4.74,4.62,4.7,0.06,1.293103448,4.693638831,4.68,4.7,24609,115.505758,-,-,24609.223,115.5067983,-,-,-,20.11,0.28,8.6,0.55,-,-,55960.10329,0.206688947,-,-,1,11906404956,-,-
6/5/2022,4.7,4.62,4.7,4.56,4.7,0,0,4.649795056,4.68,4.7,34316.7,159.565622,-,-,34316.75,159.565856,-,-,-,20.11,0.28,8.6,0.55,-,-,55960.10329,0.288220921,-,-,1,11906404956,-,-
9/5/2022,4.7,4.68,4.74,4.6,4.62,-0.08,-1.70212766,4.652502774,4.62,4.64,17304,80.506908,-,-,17304.001,80.50691264,-,-,-,19.76,0.27,8.46,0.55,-,-,55007.5909,0.14533355,-,-,1,11906404956,-,-
10/5/2022,4.62,4.6,4.66,4.54,4.62,0,0,4.604943117,4.6,4.62,22731,104.674962,-,-,22731.161,104.6757042,-,-,-,19.76,0.27,8.46,0.55,-,-,55007.5909,0.190915403,-,-,1,11906404956,-,-
11/5/2022,4.62,4.62,4.64,4.56,4.58,-0.04,-0.865800866,4.59847887,4.56,4.58,5175.1,23.797588,-,-,5175.196,23.79802924,-,-,-,19.59,0.27,8.38,0.55,-,-,54531.3347,0.043465647,-,-,1,11906404956,-,-
12/5/2022,4.58,4.56,4.62,4.5,4.56,-0.02,-0.436681223,4.555111199,4.54,4.56,30225,137.678236,-,-,30225.002,137.6782451,-,-,-,19.51,0.27,8.35,0.55,-,-,54293.2066,0.253854981,-,-,1,11906404956,-,-
13/5/2022,4.56,4.58,4.6,4.04,4.08,-0.48,-10.52631579,4.223923117,4.08,4.1,168854.5,713.228426,-,-,168856.031,713.2348741,-,-,-,17.45,0.24,7.47,0.55,-,-,48578.13222,1.423234231,-,-,1,11906404956,-,-
17/5/2022,4.08,4.1,4.22,4.08,4.18,0.1,2.450980392,4.150983229,4.18,4.2,38924.8,161.576192,-,-,38924.818,161.576267,-,-,-,17.07,0.27,7.65,0.55,-,-,49768.77272,0.32692335,-,-,1,11906404956,-,-
18/5/2022,4.18,4.22,4.34,4.2,4.32,0.14,3.349282297,4.275678503,4.32,4.34,30394.1,129.9554,-,-,30394.384,129.9566248,-,-,-,17.65,0.28,7.91,0.55,-,-,51435.66941,0.255277593,-,-,1,11906404956,-,-
19/5/2022,4.32,4.2,4.36,4.2,4.32,0,0,4.303488359,4.3,4.32,25757.1,110.84538,-,-,25757.214,110.8458673,-,-,-,17.65,0.28,7.91,0.55,-,-,51435.66941,0.21633074,-,-,1,11906404956,-,-
20/5/2022,4.32,4.42,4.76,4.4,4.7,0.38,8.796296296,4.6738334,4.7,4.72,122670.2,573.340078,-,-,122670.932,573.343496,-,-,-,19.2,0.3,7.93,0.59,-,-,55960.10329,1.030293631,-,-,1,11906404956,-,-
23/5/2022,4.7,4.76,4.98,4.72,4.82,0.12,2.553191489,4.821241084,4.8,4.82,108929,525.17297,-,-,108929.657,525.1761101,-,-,-,19.69,0.31,8.13,0.59,-,-,57388.87189,0.91488285,-,-,1,11906404956,-,-
24/5/2022,4.82,4.88,4.92,4.8,4.86,0.04,0.829875519,4.863941911,4.86,4.88,48546.5,236.127356,-,-,48547.391,236.1316868,-,-,-,19.85,0.31,8.2,0.59,-,-,57865.12809,0.407741809,-,-,1,11906404956,-,-
25/5/2022,4.86,4.96,5.1,4.82,4.84,-0.02,-0.411522634,4.922027642,4.84,4.86,95680.1,470.940097,-,-,95680.877,470.9439073,-,-,-,19.77,0.31,8.16,0.59,-,-,57626.99999,0.803608456,-,-,1,11906404956,-,-
26/5/2022,4.84,4.88,5.05,4.84,5.05,0.21,4.338842975,4.960584474,5,5.05,136832.5,678.769175,-,-,136833.373,678.7735169,-,-,-,20.63,0.33,8.52,0.59,-,-,60127.34503,1.149241719,-,-,1,11906404956,-,-
27/5/2022,5.05,5.05,5.1,4.88,4.9,-0.15,-2.97029703,4.964427182,4.88,4.9,61798.9,306.796139,-,-,61799.118,306.7972317,-,-,-,20.02,0.32,8.26,0.59,-,-,58341.38428,0.519040955,-,-,1,11906404956,-,-
30/5/2022,4.9,4.9,4.98,4.9,4.9,0,0,4.921689713,4.9,4.92,30337.7,149.312746,-,-,30337.908,149.3137689,-,-,-,20.02,0.32,8.26,0.59,-,-,58341.38428,0.25480326,-,-,1,11906404956,-,-
